2612	Campbell	ACT	-35.2891	149.1538
2612	Braddon	ACT	-35.2708	149.1357
2612	Turner	ACT	-35.2688	149.1247
2612	Reid	ACT	-35.2858	149.1391
2614	Scullin	ACT	-35.2346	149.039
2614	Hawker	ACT	-35.2471	149.0367
2614	Cook	ACT	-35.2601	149.0657
2614	Macquarie	ACT	-35.2513	149.0636
2614	Aranda	ACT	-35.2582	149.0804
2614	Jamison Centre	ACT	-35.2486	149.055
2614	Page	ACT	-35.2386	149.0499
2614	Weetangera	ACT	-35.25	149.05
2615	Florey	ACT	-35.2259	149.05
2615	Melba	ACT	-35.2102	149.0541
2615	Latham	ACT	-35.2165	149.0314
2615	Dunlop	ACT	-35.194	149.0198
2615	Spence	ACT	-35.1987	149.0644
2615	Macgregor	ACT	-35.2098	149.011
2615	Holt	ACT	-35.2244	149.0119
2615	Macnamara	ACT	-35.21	149.0357
2615	Flynn	ACT	-35.2059	149.0439
2615	Kippax	ACT	-35.21	149.0357
2615	Charnwood	ACT	-35.2002	149.0341
2615	Kippax Centre	ACT	-35.21	149.0357
2615	Fraser	ACT	-35.1917	149.0453
2615	Strathnairn	ACT	-35.21	149.0357
2615	Higgins	ACT	-35.2324	149.0272
2616	Belconnen	ACT	-35.238	149.0663
2617	University Of Canberra	ACT	-35.2235	149.0863
2617	Belconnen	ACT	-35.238	149.0663
2617	Belconnen Dc	ACT	-35.2235	149.0863
2617	Giralang	ACT	-35.2109	149.096
2617	Lawson	ACT	-35.2241	149.0998
2617	Evatt	ACT	-35.2119	149.0689
2617	Kaleen	ACT	-35.2181	149.1052
2617	Bruce	ACT	-35.2441	149.0908
2617	Mckellar	ACT	-35.2175	149.077
2618	Hall	ACT	-35.1685	149.0683
2900	Tuggeranong	ACT	-35.4165	149.0695
2900	Greenway	ACT	-35.4183	149.0666
2901	Tuggeranong Dc	ACT	-35.4247	149.0982
2902	Kambah Village	ACT	-35.3862	149.058
2902	Kambah	ACT	-35.3862	149.058
